iter	Passed	Remaining
243	393	1218
244	394	1216
245	396	1216
246	398	1215
247	400	1215
248	402	1213
249	404	1212
250	405	1210
251	407	1208
252	408	1206
253	410	1204
254	412	1204
255	413	1203
256	415	1201
257	417	1199
258	418	1197
259	420	1195
260	421	1193
261	422	1190
262	424	1188
263	425	1186
264	427	1185
265	429	1184
266	430	1182
267	432	1181
268	433	1178
269	435	1176
270	436	1175
271	438	1173
272	439	1170
273	441	1168
274	443	1169
275	445	1167
276	446	1165
277	447	1163
278	449	1161
279	450	1158
280	452	1156
281	453	1154
282	454	1152
283	456	1150
284	458	1149
285	460	1150
286	462	1148
287	463	1145
288	464	1143
289	466	1141
290	467	1139
291	469	1137
292	470	1136
293	472	1135
294	475	1136
295	477	1135
296	478	1133
297	480	1131
298	481	1129
299	483	1127
300	484	1125
301	486	1123
302	487	1122
303	489	1121
304	491	1120
305	493	1118
306	494	1117
307	496	1115
308	497	1113
309	499	1111
310	500	1109
311	502	1107
312	503	1105
313	505	1104
314	507	1104
315	509	1102
316	510	1100
317	512	1098
318	513	1096
319	515	1094
320	516	1092
321	518	1090
322	519	1088
323	521	1088
324	523	1087
325	524	1085
326	526	1083
327	527	1081
328	529	1079
329	530	1077
330	532	1075
331	533	1073
332	535	1072
333	537	1071
334	539	1070
335	540	1068
336	542	1066
337	543	1064
338	545	1063
339	546	1061
340	548	1059
341	549	1057
342	551	1055
343	553	1054
344	554	1053
345	556	1051
346	557	1049
347	559	1047
348	560	1045
349	562	1044
350	563	1042
351	565	1040
352	566	1038
353	568	1037
354	570	1036
355	572	1035
356	573	1033
357	574	1029
358	576	1028
359	577	1027
360	579	1025
361	580	1023
362	582	1022
363	584	1021
364	586	1020
365	587	1018
366	589	1016
367	590	1014
368	592	1013
369	594	1011
370	595	1009
371	597	1007
372	598	1006
373	600	1004
374	602	1003
375	603	1001
376	605	999
377	606	998
378	608	996
379	609	994
380	611	992
381	612	990
382	613	988
383	615	987
384	617	986
385	619	984
386	620	983
387	622	981
388	623	979
389	625	977
390	626	976
391	628	974
392	629	972
393	631	971
394	633	970
395	635	968
396	636	967
397	638	965
398	639	963
399	641	962
400	642	960
401	644	958
402	645	956
403	647	955
404	649	954
405	651	952
406	652	950
407	653	948
408	655	947
409	656	945
410	658	943
411	659	941
412	661	940
413	663	939
414	665	938
415	667	936
416	668	934
417	669	932
418	671	931
419	673	929
420	674	927
421	675	925
422	677	923
423	679	923
424	681	922
425	683	920
426	684	918
427	686	917
428	687	915
429	689	913
430	690	911
431	692	909
432	693	908
433	696	907
434	697	906
435	699	904
436	700	902
437	702	901
438	703	899
439	705	897
440	706	895
441	708	894
442	710	892
443	712	892
444	714	890
445	715	889
446	717	887
447	718	885
448	720	884
449	721	882
450	723	880
451	725	879
452	727	878
453	728	876
454	730	874
455	731	872
456	732	870
457	734	868
458	735	867
459	736	865
460	738	863
461	739	861
462	741	860
463	743	859
464	745	857
465	746	855
466	747	853
467	749	851
468	750	850
469	752	848
470	753	846
471	755	844
472	757	843
473	759	842
474	760	840
475	761	838
476	763	836
477	764	835
478	766	833
479	767	831
480	769	830
481	771	828
482	772	827
483	774	826
484	776	824
485	777	822
486	779	821
487	780	819
488	782	817
489	784	816
490	785	814
491	787	812
492	789	811
493	791	810
494	792	808
495	793	806
496	794	804
497	796	802
498	798	801
499	799	799
500	800	797
501	802	796
502	804	795
503	806	793
504	808	792
505	809	790
506	811	788
507	812	786
508	813	785
509	815	783
510	816	781
511	818	779
512	820	778
513	822	777
514	823	775
515	825	773
516	826	772
517	828	770
518	829	768
519	830	766
520	832	765
521	833	763
522	835	762
523	838	761
524	840	760
525	841	758
526	843	756
527	844	754
528	845	753
529	847	751
530	848	749
531	849	747
532	852	746
533	854	745
534	855	743
535	857	742
536	858	740
537	860	738
538	861	736
539	862	735
540	864	733
541	865	731
542	867	730
543	869	729
544	871	727
545	872	725
546	874	724
547	875	722
548	877	720
549	878	718
550	879	717
551	881	715
552	884	714
553	885	713
554	887	711
555	888	709
556	890	708
557	891	706
558	893	704
559	894	703
560	896	701
561	898	699
562	900	698
563	901	697
564	903	695
565	904	693
566	906	691
567	907	690
568	909	688
569	910	686
570	912	685
571	913	683
572	915	682
573	916	680
574	918	678
575	919	677
576	921	675
577	922	673
578	923	671
579	925	670
580	927	668
581	928	666
582	930	665
583	932	664
584	933	662
585	935	660
586	936	658
587	937	657
588	939	655
589	940	653
590	942	652
591	943	650
592	945	649
593	947	647
594	948	645
595	950	644
596	951	642
597	953	640
598	954	639
599	956	637
600	957	635
601	959	634
602	961	632
603	963	631
604	964	629
605	966	628
606	967	626
607	968	624
608	970	623
609	972	621
610	973	620
611	975	618
612	977	617
613	979	615
614	980	613
615	982	612
616	983	610
617	985	609
618	987	607
619	988	605
620	990	604
621	991	602
622	993	601
623	995	599
624	997	598
625	998	596
626	1000	595
627	1002	593
628	1003	591
629	1005	590
630	1006	588
631	1008	587
632	1010	585
633	1011	584
634	1013	582
635	1014	580
636	1016	579
637	1017	577
638	1019	575
639	1020	574
640	1022	572
641	1023	570
642	1025	569
643	1027	567
644	1028	566
645	1030	564
646	1031	562
647	1033	561
648	1034	559
649	1036	557
650	1037	556
651	1039	554
652	1041	553
653	1043	551
654	1045	550
655	1047	549
656	1049	547
657	1050	546
658	1052	544
659	1053	542
660	1055	541
661	1057	540
662	1059	538
663	1060	536
664	1062	535
665	1063	533
666	1065	531
667	1066	530
668	1068	528
669	1069	526
670	1071	525
671	1073	523
672	1075	522
673	1076	520
674	1078	519
675	1079	517
676	1081	515
677	1082	514
678	1083	512
679	1085	510
680	1087	509
681	1089	508
682	1091	506
683	1092	504
684	1094	503
685	1095	501
686	1097	499
687	1098	498
688	1099	496
689	1101	494
690	1103	493
691	1105	492
692	1107	490
693	1108	488
694	1110	487
695	1111	485
696	1113	483
697	1114	482
698	1116	480
699	1117	478
700	1119	477
701	1121	476
702	1123	474
703	1124	472
704	1125	471
705	1127	469
706	1128	467
707	1130	466
708	1131	464
709	1133	462
710	1135	461
711	1137	459
712	1138	458
713	1140	456
714	1141	455
715	1143	453
716	1144	451
717	1146	450
718	1147	448
719	1149	446
720	1151	445
721	1152	443
722	1154	442
723	1155	440
724	1157	438
725	1158	437
726	1160	435
727	1161	434
728	1163	432
729	1165	430
730	1167	429
731	1168	427
732	1170	426
733	1172	424
734	1173	423
735	1174	421
736	1176	419
737	1178	418
738	1179	416
739	1181	415
740	1183	413
741	1185	412
742	1186	410
743	1188	408
744	1189	407
745	1191	405
746	1192	403
747	1194	402
748	1196	400
749	1198	399
750	1200	398
751	1201	396
752	1203	394
753	1204	393
754	1206	391
755	1207	389
756	1209	388
757	1210	386
758	1211	384
759	1213	383
760	1215	381
761	1217	380
762	1218	378
763	1219	376
764	1221	375
765	1222	373
766	1224	371
767	1225	370
768	1227	368
769	1228	367
770	1230	365
771	1232	363
772	1233	362
773	1235	360
774	1236	359
775	1238	357
776	1239	355
777	1241	354
778	1243	352
779	1244	351
780	1247	349
781	1248	348
782	1249	346
783	1251	344
784	1253	343
785	1254	341
786	1256	340
787	1257	338
788	1259	336
789	1260	335
790	1262	333
791	1264	331
792	1265	330
793	1267	328
794	1268	327
795	1270	325
796	1271	323
797	1272	322
798	1274	320
799	1275	318
800	1277	317
801	1279	315
802	1281	314
803	1282	312
804	1283	311
805	1285	309
806	1286	307
807	1288	306
808	1289	304
809	1291	302
810	1293	301
811	1294	299
812	1296	298
813	1298	296
814	1299	294
815	1300	293
816	1302	291
817	1303	290
818	1305	288
819	1307	286
820	1308	285
821	1310	283
822	1312	282
823	1313	280
824	1315	278
825	1316	277
826	1318	275
827	1319	274
828	1321	272
829	1322	270
830	1323	269
831	1326	267
832	1327	266
833	1329	264
834	1330	262
835	1331	261
836	1333	259
837	1334	258
838	1336	256
839	1337	254
840	1339	253
841	1341	251
842	1342	250
843	1344	248
844	1345	246
845	1347	245
846	1348	243
847	1350	241
848	1351	240
849	1352	238
850	1354	237
851	1356	235
852	1358	234
853	1360	232
854	1361	230
855	1363	229
856	1364	227
857	1366	226
858	1367	224
859	1368	222
860	1370	221
861	1372	219
862	1374	218
863	1376	216
864	1377	214
865	1379	213
866	1380	211
867	1381	210
868	1383	208
869	1384	206
870	1386	205
871	1388	203
872	1390	202
873	1391	200
874	1393	199
875	1394	197
876	1396	195
877	1397	194
878	1399	192
879	1400	190
880	1401	189
881	1403	187
882	1405	186
883	1407	184
884	1408	183
885	1410	181
886	1411	179
887	1413	178
888	1414	176
889	1416	175
890	1417	173
891	1419	171
892	1421	170
893	1423	168
894	1424	167
895	1426	165
896	1427	163
897	1429	162
898	1430	160
899	1432	159
900	1433	157
901	1435	156
902	1437	154
903	1439	152
904	1440	151
905	1442	149
906	1443	148
907	1445	146
908	1446	144
909	1447	143
910	1449	141
911	1451	140
912	1453	138
913	1454	136
914	1456	135
915	1457	133
916	1459	132
917	1460	130
918	1462	128
919	1463	127
920	1464	125
921	1467	124
922	1468	122
923	1470	120
924	1471	119
925	1472	117
926	1474	116
927	1475	114
928	1477	112
929	1478	111
930	1480	109
931	1481	108
932	1483	106
933	1485	104
934	1486	103
935	1488	101
936	1490	100
937	1492	98
938	1493	97
939	1495	95
940	1497	93
941	1499	92
942	1500	90
943	1502	89
944	1503	87
945	1505	85
946	1506	84
947	1508	82
948	1509	81
949	1511	79
950	1512	77
951	1514	76
952	1516	74
953	1517	73
954	1519	71
955	1520	69
956	1522	68
957	1524	66
958	1525	65
959	1527	63
960	1528	62
961	1530	60
962	1532	58
963	1533	57
964	1535	55
965	1536	54
966	1538	52
967	1539	50
968	1540	49
969	1542	47
970	1543	46
971	1545	44
972	1547	42
973	1549	41
974	1551	39
975	1552	38
976	1554	36
977	1555	34
978	1557	33
979	1558	31
980	1560	30
981	1562	28
982	1564	27
983	1566	25
984	1567	23
985	1569	22
986	1570	20
987	1572	19
988	1573	17
989	1574	15
990	1576	14
991	1578	12
992	1580	11
993	1581	9
994	1583	7
995	1584	6
996	1585	4
997	1587	3
998	1588	1
999	1590	0
